Show_id,Type,Title,Director,Date_added,Release_year,Duration,Genre
s85,Movie,The Water Man,David Oyelowo,8/25/21,2021,92 min,Children & Family Movies
s86,Movie,Count Me In,Mark Lo,8/24/21,2021,82 min,Documentaries
s87,Movie,Untold: Caitlyn Jenner,Crystal Moselle,8/24/21,2021,70 min,Documentaries
s88,Movie,Boomika,Rathindran R Prasad,8/23/21,2021,122 min,Horror Movies
s89,Movie,Boomika (Hindi),Rathindran R Prasad,8/23/21,2021,122 min,Horror Movies
s90,Movie,Boomika (Malayalam),Rathindran R Prasad,8/23/21,2021,122 min,Horror Movies
s91,Movie,Boomika (Telugu),Rathindran R Prasad,8/23/21,2021,122 min,Horror Movies
s92,Movie,The Witcher: Nightmare of the Wolf,Han Kwang Il,8/23/21,2021,84 min,Action & Adventure
s93,Movie,Gunshot,Karim El Shenawy,8/20/21,2018,96 min,Dramas
s94,Movie,Man in Love,Yin Chen-hao,8/20/21,2021,115 min,Dramas
s95,Movie,Sweet Girl,Brian Andrew Mendoza,8/20/21,2021,110 min,Action & Adventure
s96,Movie,The Loud House Movie,Dave Needham,8/20/21,2021,88 min,Children & Family Movies
s97,Movie,A Faraway Land,Veronica Velasco,8/19/21,2020,102 min,Dramas
s98,Movie,Like Crazy,Drake Doremus,8/19/21,2011,91 min,Dramas
s99,Movie,Black Island,Miguel Alexandre,8/18/21,2021,105 min,International Movies
s100,Movie,Bombay,Mani Ratnam,8/18/21,1995,135 min,Dramas
s101,Movie,Memories of a Murderer: The Nilsen Tapes,Michael Harte,8/18/21,2021,86 min,Documentaries
s102,Movie,Nneka The Pretty Serpent,Tosin Igho,8/18/21,2020,140 min,Dramas
s103,Movie,O Kadhal Kanmani,Mani Ratnam,8/18/21,2015,133 min,Dramas
s104,Movie,Out of my league,Alice Filippi,8/18/21,2020,92 min,Comedies
s105,Movie,Pahuna,Paakhi Tyrewala,8/18/21,2018,82 min,Comedies
s106,Movie,The Secret Diary of an Exchange Student,Bruno Garotti,8/18/21,2021,97 min,Comedies
s107,Movie,Untold: Deal With the Devil,Laura Brownson,8/18/21,2021,78 min,Documentaries
s108,Movie,Walk of Shame,Steve Brill,8/16/21,2014,94 min,Comedies
s109,Movie,The Piano,Jane Campion,8/15/21,1993,121 min,Classic Movies
s110,Movie,Unroyal,Moses Inwang,8/15/21,2020,97 min,Dramas
s111,Movie,Beckett,Ferdinando Cito Filomarino,8/13/21,2021,110 min,Action & Adventure
s112,TV Show,Gone for Good,Juan Carlos Medina,8/13/21,2021,1 Season,Crime TV Shows
s113,Movie,Monster Hunter: Legends of the Guild,Steven Yamamoto,8/12/21,2021,59 min,Action & Adventure
s114,Movie,The Paper Tigers,Quoc Bao Tran,8/7/21,2021,111 min,Action & Adventure
s115,Movie,Chennai Express,Rohit Shetty,8/5/21,2013,135 min,Action & Adventure
s116,Movie,Beethoven,Brian Levant,8/1/21,1992,87 min,Children & Family Movies
s117,Movie,Beethoven's 2nd,Rod Daniel,8/1/21,1993,88 min,Children & Family Movies
s118,Movie,Beowulf,Robert Zemeckis,8/1/21,2007,114 min,Action & Adventure
s119,Movie,Boyka: Undisputed,Todor Chapkanov,8/1/21,2016,90 min,Action & Adventure
s120,Movie,Deep Blue Sea,Renny Harlin,8/1/21,1999,105 min,Action & Adventure
s121,Movie,Inception,Christopher Nolan,8/1/21,2010,148 min,Action & Adventure
s122,Movie,My Girl 2,Howard Zieff,8/1/21,1994,99 min,Children & Family Movies
s123,Movie,Open Season: Scared Silly,David Feiss,8/1/21,2015,85 min,Children & Family Movies
s124,Movie,Pineapple Express,David Gordon Green,8/1/21,2008,112 min,Action & Adventure
s125,Movie,Planet 51,Jorge Blanco,8/1/21,2009,91 min,Children & Family Movies
s126,Movie,Space Cowboys,Clint Eastwood,8/1/21,2000,130 min,Action & Adventure
s127,Movie,Team America: World Police,Trey Parker,8/1/21,2004,98 min,Action & Adventure
s128,Movie,The Last Boy Scout,Tony Scott,8/1/21,1991,105 min,Action & Adventure
s129,Movie,The Losers,Sylvain White,8/1/21,2010,97 min,Action & Adventure
s130,Movie,The Net,Irwin Winkler,8/1/21,1995,114 min,Thrillers
s131,Movie,Rurouni Kenshin: The Beginning,Keishi Otomo,7/30/21,2021,138 min,Action & Adventure
s132,Movie,The Last Mercenary,David Charhon,7/30/21,2021,112 min,Action & Adventure
s133,Movie,Bartkowiak,Daniel Markowicz,7/28/21,2021,92 min,Action & Adventure
s134,Movie,Department,Ram Gopal Varma,7/27/21,2012,143 min,Action & Adventure
s135,Movie,Hostage House,David Benullo,7/27/21,2021,86 min,Thrillers
s136,Movie,Django Unchained,Quentin Tarantino,7/24/21,2012,165 min,Action & Adventure
s137,Movie,A Second Chance:  Rivals!,Clay Glen,7/23/21,2021,91 min,Children & Family Movies
s138,Movie,Blood Red Sky,Peter Thorwarth,7/23/21,2021,123 min,Action & Adventure
s139,Movie,Chhota Bheem - Dinosaur World,Sidheswar Shukla,7/22/21,2015,65 min,Children & Family Movies
s140,Movie,Chhota Bheem - Neeli Pahaadi,Rajiv Chilaka,7/22/21,2013,64 min,Children & Family Movies
s141,Movie,Chhota Bheem & Ganesh,Rajiv Chilaka,7/22/21,2009,68 min,Children & Family Movies
s142,Movie,Chhota Bheem & Krishna: Mayanagari,Rajiv Chilaka,7/22/21,2011,67 min,Children & Family Movies
s143,Movie,Chhota Bheem & Krishna: Pataliputra- City of the Dead,Rajiv Chilaka,7/22/21,2010,66 min,Children & Family Movies
s144,Movie,Chhota Bheem And The Broken Amulet,Rajiv Chilaka,7/22/21,2013,64 min,Children & Family Movies
s145,Movie,Chhota Bheem And The Crown of Valhalla,Rajiv Chilaka,7/22/21,2013,64 min,Children & Family Movies
s146,Movie,Chhota Bheem and the Incan Adventure,Rajiv Chilaka,7/22/21,2013,65 min,Children & Family Movies
s147,Movie,Chhota Bheem and The ShiNobi Secret,Rajiv Chilaka,7/22/21,2013,64 min,Children & Family Movies
s148,Movie,Chhota Bheem Aur Hanuman,Rajiv Chilaka,7/22/21,2012,68 min,Children & Family Movies
s149,Movie,Chhota Bheem aur Krishna,Rajiv Chilaka,7/22/21,2009,68 min,Children & Family Movies
s150,Movie,Chhota Bheem aur Krishna vs Zimbara,Rajiv Chilaka,7/22/21,2013,64 min,Children & Family Movies
s151,Movie,Chhota Bheem in African Safari,Binayak Das,7/22/21,2015,62 min,Children & Family Movies
s152,Movie,Chhota Bheem: Bheem vs Aliens,Rajiv Chilaka,7/22/21,2010,69 min,Children & Family Movies
s153,Movie,Chhota Bheem: Dholakpur to Kathmandu,Rajiv Chilaka,7/22/21,2012,70 min,Children & Family Movies
s154,Movie,Chhota Bheem: Journey to Petra,Rajiv Chilaka,7/22/21,2011,68 min,Children & Family Movies
s155,Movie,Chhota Bheem: Master of Shaolin,Rajiv Chilaka,7/22/21,2011,74 min,Children & Family Movies
s156,Movie,Chhota Bheem: The Rise of Kirmada,Rajiv Chilaka,7/22/21,2012,68 min,Children & Family Movies
s157,Movie,Words Bubble Up Like Soda Pop,Kyohei Ishiguro,7/22/21,2021,87 min,Action & Adventure
s158,Movie,Cosmic Sin,Edward Drake,7/17/21,2021,88 min,Action & Adventure
s159,Movie,Twilight,Catherine Hardwicke,7/16/21,2008,122 min,Action & Adventure
s160,Movie,Gunpowder Milkshake,Navot Papushado,7/14/21,2021,115 min,Action & Adventure
s161,Movie,American Ultra,Nima Nourizadeh,7/10/21,2015,96 min,Action & Adventure
s162,Movie,How I Became a Superhero,Douglas Attal,7/9/21,2021,101 min,Action & Adventure
s163,Movie,Lethal Love,Avi Federgreen,7/9/21,2021,89 min,Thrillers
s164,Movie,Brick Mansions,Camille Delamarre,7/7/21,2014,90 min,Action & Adventure
s165,Movie,Major Grom: Plague Doctor,Oleg Trofim,7/7/21,2021,138 min,Action & Adventure
s166,Movie,Snowpiercer,Bong Joon Ho,7/2/21,2013,126 min,Action & Adventure
s167,Movie,6 Bullets,Ernie Barbarash,7/1/21,2012,115 min,Action & Adventure
s168,Movie,Air Force One,Wolfgang Petersen,7/1/21,1997,125 min,Action & Adventure
s169,Movie,Austin Powers in Goldmember,Jay Roach,7/1/21,2002,94 min,Action & Adventure
s170,Movie,Austin Powers: The Spy Who Shagged Me,Jay Roach,7/1/21,1999,95 min,Action & Adventure
s171,Movie,Charlie's Angels,McG,7/1/21,2000,98 min,Action & Adventure
s172,Movie,Congo,Frank Marshall,7/1/21,1995,108 min,Action & Adventure
s173,Movie,Dennis the Menace,Nick Castle,7/1/21,1993,96 min,Children & Family Movies
s174,Movie,Dynasty Warriors,Chow Hin Yeung Roy,7/1/21,2021,118 min,Action & Adventure
s175,Movie,Kung Fu Panda 2,Jennifer Yuh Nelson,7/1/21,2011,93 min,Children & Family Movies
s176,Movie,Midnight Run,Martin Brest,7/1/21,1988,126 min,Action & Adventure
s177,Movie,Mobile Suit Gundam Hathaway,Shuko Murase,7/1/21,2021,96 min,Action & Adventure
s178,Movie,Mortal Kombat,Paul W.S. Anderson,7/1/21,1995,101 min,Action & Adventure
s179,Movie,Snow Day,Chris Koch,7/1/21,2000,89 min,Children & Family Movies
s180,Movie,Star Trek,J.J. Abrams,7/1/21,2009,128 min,Action & Adventure
s181,Movie,Stuart Little,Rob Minkoff,7/1/21,1999,85 min,Children & Family Movies
s182,Movie,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,7/1/21,2006,108 min,Action & Adventure
s183,Movie,The Game,David Fincher,7/1/21,1997,129 min,Thrillers
s184,Movie,The Karate Kid,John G. Avildsen,7/1/21,1984,127 min,Action & Adventure
s185,Movie,The Karate Kid Part II,John G. Avildsen,7/1/21,1986,113 min,Action & Adventure
s186,Movie,The Karate Kid Part III,John G. Avildsen,7/1/21,1989,112 min,Children & Family Movies
s187,Movie,The Long Riders,Walter Hill,7/1/21,1980,100 min,Action & Adventure
s188,Movie,The Sum of All Fears,Phil Alden Robinson,7/1/21,2002,124 min,Action & Adventure
s189,Movie,The Tourist,Florian Henckel von Donnersmarck,7/1/21,2010,103 min,Action & Adventure
s190,Movie,Underworld,Len Wiseman,7/1/21,2003,121 min,Action & Adventure
s191,Movie,Underworld: Rise of the Lycans,Patrick Tatopoulos,7/1/21,2009,92 min,Action & Adventure
s192,Movie,America: The Motion Picture,Matt Thompson,6/30/21,2021,98 min,Action & Adventure
s193,Movie,Lying and Stealing,Matt Aselton,6/30/21,2019,100 min,Thrillers
s194,TV Show,Sophie: A Murder in West Cork,John Dower,6/30/21,2021,1 Season,Action & Adventure
s195,Movie,The Ice Road,Jonathan Hensleigh,6/25/21,2021,109 min,Action & Adventure
s196,Movie,Mobile Suit Gundam: Char's Counterattack,Yoshiyuki Tomino,6/19/21,1988,120 min,Action & Adventure
s197,TV Show,They've Gotta Have Us,Simon Frederick,6/19/21,2018,1 Season,Action & Adventure
s198,Movie,Jagame Thandhiram,Karthik Subbaraj,6/18/21,2021,159 min,Action & Adventure
s199,Movie,Rurouni Kenshin: The Final,Keishi Otomo,6/18/21,2021,137 min,Action & Adventure
s200,Movie,Silver Skates,Michael Lockshin,6/16/21,2020,138 min,Action & Adventure
s201,Movie,Rogue Warfare: Death of a Nation,Mike Gunther,6/15/21,2020,99 min,Action & Adventure
s202,TV Show,The American Bible Challenge,Michael Simon,6/15/21,2014,1 Season,Reality TV
s203,Movie,Skater Girl,Manjari Makijany,6/11/21,2021,110 min,Children & Family Movies
s204,TV Show,Trese,Jay Oliva,6/11/21,2021,1 Season,Action & Adventure
s205,Movie,Wish Dragon,Chris Appelhans,6/11/21,2021,102 min,Children & Family Movies
s206,Movie,Vampire Academy,Mark Waters,6/7/21,2014,104 min,Action & Adventure
s207,Movie,Xtreme,Daniel Benmayor,6/4/21,2021,112 min,Action & Adventure
s208,TV Show,Pretty Guardian Sailor Moon Eternal The Movie,Chiaki Kon,6/3/21,2021,1 Season,TV Shows
s209,Movie,American Outlaws,Les Mayfield,6/2/21,2001,94 min,Action & Adventure
s210,Movie,Battlefield Earth,Roger Christian,6/2/21,2000,118 min,Action & Adventure
s211,Movie,Company of Heroes,Don Michael Paul,6/2/21,2013,101 min,Action & Adventure
s212,Movie,Cradle 2 the Grave,Andrzej Bartkowiak,6/2/21,2003,101 min,Action & Adventure
s213,Movie,Domestic Disturbance,Harold Becker,6/2/21,2001,89 min,Thrillers
s214,Movie,Felon,Ric Roman Waugh,6/2/21,2008,104 min,Action & Adventure
s215,Movie,Never Back Down 2: The Beatdown,Michael Jai White,6/2/21,2011,104 min,Action & Adventure
s216,Movie,Ninja Assassin,James McTeigue,6/2/21,2009,99 min,Action & Adventure
s217,TV Show,Ouran High School Host Club,Takuya Igarashi,6/2/21,2006,1 Season,Action & Adventure
s218,Movie,Seven Souls in the Skull Castle: Season Moon Jogen,Hidenori Inoue,6/2/21,2017,204 min,Action & Adventure
s219,Movie,Seven Souls in the Skull Castle: Season Moon Kagen,Hidenori Inoue,6/2/21,2017,212 min,Action & Adventure
s220,Movie,Sniper: Legacy,Don Michael Paul,6/2/21,2014,98 min,Action & Adventure
s221,Movie,Starsky & Hutch,Todd Phillips,6/2/21,2004,101 min,Action & Adventure
s222,Movie,Streets of Fire,Walter Hill,6/2/21,1984,94 min,Action & Adventure
s223,Movie,Super Monsters: Once Upon a Rhyme,Steve Ball,6/2/21,2021,25 min,Children & Family Movies
s224,Movie,Swordfish,Dominic Sena,6/2/21,2001,99 min,Action & Adventure
s225,Movie,The Interpreter,Sydney Pollack,6/2/21,2005,128 min,Thrillers
s226,Movie,The Outlaw Josey Wales,Clint Eastwood,6/2/21,1976,136 min,Action & Adventure
s227,Movie,Welcome Home,George Ratliff,6/2/21,2018,97 min,Thrillers
s228,Movie,Dog Gone Trouble,Kevin Johnson,5/28/21,2021,88 min,Children & Family Movies
s229,Movie,Blue Miracle,Julio Quintana,5/27/21,2021,97 min,Children & Family Movies
s230,Movie,Gatao - The Last Stray,Ray Jiang,5/26/21,2021,120 min,Action & Adventure
s231,Movie,Home,Tim Johnson,5/25/21,2015,94 min,Children & Family Movies
s232,Movie,Army of the Dead,Zack Snyder,5/21/21,2021,148 min,Action & Adventure
s233,Movie,Little Singham Future mein Satakli,Prakash Satam,5/20/21,2021,47 min,Children & Family Movies
s234,Movie,Spy Kids: All the Time in the World,Robert Rodriguez,5/20/21,2011,88 min,Children & Family Movies
s235,Movie,Sabotage,David Ayer,5/19/21,2014,109 min,Action & Adventure
s236,TV Show,Halston,Daniel Minahan,5/14/21,2021,1 Season,TV Dramas
s237,Movie,Jungle Beat: The Movie,Brent Dawes,5/14/21,2021,90 min,Children & Family Movies
s238,Movie,Sleepless,Baran bo Odar,5/8/21,2017,95 min,Action & Adventure
s239,Movie,Super Me,Zhang Chong,5/8/21,2021,104 min,Action & Adventure
s240,Movie,Dead Man Down,Niels Arden Oplev,5/6/21,2013,118 min,Action & Adventure
s241,Movie,Aliens Stole My Body,Sean McNamara,5/1/21,2020,88 min,Children & Family Movies
s242,Movie,Au coeur des gangs,Vondie Curtis-Hall,5/1/21,2006,97 min,Action & Adventure
s243,Movie,Best of the Best,Robert Radler,5/1/21,1989,97 min,Action & Adventure
s244,Movie,Due Date,Todd Phillips,5/1/21,2010,95 min,Action & Adventure
s245,Movie,Green Zone,Paul Greengrass,5/1/21,2010,115 min,Action & Adventure
s246,Movie,Motu Patlu in Dragon's World,Suhas Kadav,5/1/21,2017,78 min,Children & Family Movies
s247,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,5/1/21,2019,87 min,Children & Family Movies
s248,Movie,Motu Patlu in Wonderland,Suhas Kadav,5/1/21,2013,76 min,Children & Family Movies
s249,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,5/1/21,2014,76 min,Children & Family Movies
s250,Movie,Motu Patlu: Mission Moon,Suhas Kadav,5/1/21,2013,71 min,Children & Family Movies
s251,Movie,Never Back Down,Jeff Wadlow,5/1/21,2008,113 min,Action & Adventure
s252,Movie,S.M.A.R.T Chase,Charles Martin,5/1/21,2018,94 min,Action & Adventure
s253,Movie,Stargate,Roland Emmerich,5/1/21,1994,121 min,Action & Adventure
s254,Movie,The Darkest Hour,Chris Gorak,5/1/21,2011,89 min,Action & Adventure
s255,Movie,The Whole Nine Yards,Jonathan Lynn,5/1/21,2000,99 min,Action & Adventure
s256,Movie,Under Siege,Andrew Davis,5/1/21,1992,102 min,Action & Adventure
s257,Movie,Battle: Los Angeles,Jonathan Liebesman,4/27/21,2011,116 min,Action & Adventure
s258,Movie,Between Worlds,Maria Pulera,4/27/21,2018,91 min,Thrillers
s259,Movie,Wild Dog,Ahishor Solomon,4/22/21,2020,126 min,Action & Adventure
s260,Movie,Motu Patlu Dino Invasion,Suhas Kadav,4/20/21,2018,80 min,Children & Family Movies
s261,Movie,Motu Patlu in Octupus World,Suhas Kadav,4/20/21,2017,81 min,Children & Family Movies
s262,Movie,Motu Patlu VS Robo Kids,Suhas Kadav,4/20/21,2019,84 min,Children & Family Movies
s263,Movie,Miss Sloane,John Madden,4/19/21,2016,132 min,Thrillers
s264,Movie,Delhi Belly,Abhinay Deo,4/17/21,2011,101 min,Action & Adventure
s265,Movie,Arlo the Alligator Boy,Ryan Crego,4/16/21,2021,93 min,Children & Family Movies
s266,Movie,Barbie & Chelsea: The Lost Birthday,Cassi Simonds,4/16/21,2021,60 min,Children & Family Movies
s267,Movie,Four Sisters Before the Wedding,Mae Czarina Cruz,4/16/21,2020,116 min,Children & Family Movies
s268,Movie,Rush,Ron Howard,4/16/21,2013,123 min,Action & Adventure
s269,Movie,Only Mine,Michael Civille,4/15/21,2019,88 min,Thrillers
s270,Movie,Motu Patlu in Hong Kong: Kung Fu Kings 3,Suhas Kadav,4/13/21,2017,84 min,Children & Family Movies
s271,Movie,Motu Patlu in the City of Gold,Suhas Kadav,4/13/21,2018,77 min,Children & Family Movies
s272,Movie,Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,Suhas Kadav,4/13/21,2018,86 min,Children & Family Movies
s273,Movie,Motu Patlu the Superheroes – Super Villains from Mars,Suhas Kadav,4/13/21,2019,79 min,Children & Family Movies
s274,Movie,Shiva VS Autobots,Suhas Kadav,4/13/21,2018,80 min,Children & Family Movies
s275,Movie,Shiva: Journey to Plunotaria,Suhas Kadav,4/13/21,2019,81 min,Children & Family Movies
s276,Movie,Shiva: The Secret World Of Vedas City,Suhas Kadav,4/13/21,2017,78 min,Children & Family Movies
s277,Movie,New Gods: Nezha Reborn,Zhao Ji,4/12/21,2021,118 min,Action & Adventure
s278,Movie,Thunder Force,Ben Falcone,4/9/21,2021,107 min,Action & Adventure
s279,Movie,The Last Kids on Earth: Happy Apocalypse to You,Steve Rolston,4/6/21,2021,92 min,Children & Family Movies
s280,Movie,Escape from Planet Earth,Cal Brunker,4/3/21,2013,89 min,Children & Family Movies
s281,Movie,Air Strike,Xiao Feng,4/2/21,2018,97 min,Action & Adventure
s282,Movie,An American Girl: McKenna Shoots for the Stars,Vince Marcello,4/2/21,2012,94 min,Children & Family Movies
s283,Movie,Woody Woodpecker,Alex Zamm,4/2/21,2017,91 min,Children & Family Movies
s284,Movie,2012,Roland Emmerich,4/1/21,2009,158 min,Action & Adventure
s285,Movie,Into the Grizzly Maze,David Hackl,4/1/21,2015,90 min,Action & Adventure
s286,Movie,Kingsglaive: Final Fantasy XV,Takeshi Nozue,4/1/21,2016,116 min,Action & Adventure
s287,Movie,Maximum Risk,Ringo Lam,4/1/21,1996,101 min,Action & Adventure
s288,Movie,S.W.A.T.: Under Siege,Tony Giglio,4/1/21,2017,89 min,Action & Adventure
s289,Movie,Seven Souls in the Skull Castle: Season Bird,Hidenori Inoue,4/1/21,2017,182 min,Action & Adventure
s290,Movie,Seven Souls in the Skull Castle: Season Flower,Hidenori Inoue,4/1/21,2017,181 min,Action & Adventure
s291,Movie,Seven Souls in the Skull Castle: Season Wind,Hidenori Inoue,4/1/21,2017,185 min,Action & Adventure
